Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Perf\CoreWf.Benchmarks\CoreWf.Benchmarks.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\Quorum.QFCCore\Quorum.QFCCore.Workflow\CoreWF\src\NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Perf\CoreWf.Benchmarks\CoreWf.Benchmarks.csproj,File,Perf\CoreWf.Benchmarks\CoreWf.Benchmarks.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Test\CustomTestObjects\CustomTestObjects.csproj,File,Test\CustomTestObjects\CustomTestObjects.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Test\CustomTestObjects\CustomTestObjects.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\Quorum.QFCCore\Quorum.QFCCore.Workflow\CoreWF\src\NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Test\CustomTestObjects\CustomTestObjects.csproj,File,Test\CustomTestObjects\CustomTestObjects.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Test\ImperativeTestCases\ImperativeTestCases.csproj,File,Test\ImperativeTestCases\ImperativeTestCases.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Test\ImperativeTestCases\ImperativeTestCases.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\Quorum.QFCCore\Quorum.QFCCore.Workflow\CoreWF\src\NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Test\ImperativeTestCases\ImperativeTestCases.csproj,File,Test\ImperativeTestCases\ImperativeTestCases.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,VisualBasic\Microsoft.CodeAnalysis.VisualBasic.Scripting.vbproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\Quorum.QFCCore\Quorum.QFCCore.Workflow\CoreWF\src\NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,VisualBasic\Microsoft.CodeAnalysis.VisualBasic.Scripting.vbproj,File,VisualBasic\Microsoft.CodeAnalysis.VisualBasic.Scripting.vbproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.AspNetCore.Authorization 9.0.6,,,,,"Microsoft.AspNetCore.Authorization, 9.0.6  Recommendation:  Remove Microsoft.AspNetCore.Authorization, and replace with new package Microsoft.AspNetCore.Authorization 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.Extensions.Configuration 9.0.6,,,,,"Microsoft.Extensions.Configuration, 9.0.6  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.Extensions.Configuration.Json 9.0.6,,,,,"Microsoft.Extensions.Configuration.Json, 9.0.6  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.6,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.6  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.Extensions.Logging 9.0.6,,,,,"Microsoft.Extensions.Logging, 9.0.6  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.Extensions.Options 9.0.6,,,,,"Microsoft.Extensions.Options, 9.0.6  Recommendation:  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,System.Drawing.Common 6.0.0,,,,,"System.Drawing.Common, 6.0.0  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,System.IO.Pipelines 9.0.6,,,,,"System.IO.Pipelines, 9.0.6  Recommendation:  Remove System.IO.Pipelines, and replace with new package System.IO.Pipelines 10.0.2"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\Quorum.QFCCore\Quorum.QFCCore.Workflow\CoreWF\src\NuGet.config  
